Address,Beds,Baths,House Size,Lot Size,Type,Price
"75 Church Street, Sackville, NB, Sackville, New Brunswick, E4L 2Y8",,,,0.287,"
            Lots And Land
        ",19000
"- Lynnfield Road, Lynnfield, New Brunswick",,,,,"
            Lots And Land
        ",8000
"7 ACRES, SANDY PT RD, (Ch. Pointe aux Sable), Miramichi, New Brunswick, E9A 1J4",,,,7.0,"
            Lots And Land
        ",40000
"10 Murray Lane, Oak Bay, New Brunswick",4,3,2069,1.29,"
            Residential
        ",464900
"- Paradox Point, Bocabec, New Brunswick",,,,,"
            Lots And Land
        ",345000
"- Upper Waweig Road, Waweig, New Brunswick",,,,,"
            Lots And Land
        ",23500
"20 Board Road Extension, Oak Bay, New Brunswick",2,1,,,"
            Residential
        ",299000
"62 Irene - Spring 2020, Shediac, New Brunswick, E4P0S4",3,2,1423,,"
            Residential
        ",230000
"Colpitts Road, Colpitts Settlement, New Brunswick",,,,6.35,"
            Residential
        ",29900
"Colpitts Road, Colpitts Settlement, New Brunswick",,,,6.35,"
            Residential
        ",29900
"637 Route 170 Route, Oak Bay, New Brunswick",5,2,,,"
            Residential
        ",169900
"15 Church St., Port Elgin, New Brunswick, E4M 2E1",3,1,1350,,"
            Residential
        ",92000
"Manhurst Cross Road - Lot 1, Sussex, New Brunswick",,,,1.5,"
            Lots And Land
        ",9900
"32 King Street, St. Stephen, New Brunswick",,,,,"
            Lots And Land
        ",99000
"Lot 01-2 Rte 117, Hardwicke Road, Black River - Hardwicke, New Brunswick",,,,7.0,"
            Lots And Land
        ",49900
"Lot # 85-139, Campobello Island, New Brunswick",,,,1.21,"
            Lots And Land
        ",25000
"79 Moody's Shore Road, Bass River, New Brunswick",2,1,900,0.959,"
            Other
        ",245000
"Shore Lot 3+3A Baron Lane, Dufferin, New Brunswick",,,,,"
            Lots And Land
        ",139000
